1,Bitcoin,BTC,bitcoin,1,1,2013-04-28T18:47:21.000Z,2020-02-09T15:19:00.000Z,0
2,Litecoin,LTC,litecoin,1,7,2013-04-28T18:47:22.000Z,2020-02-09T15:19:00.000Z,0
3,Namecoin,NMC,namecoin,1,348,2013-04-28T18:47:22.000Z,2020-02-09T15:19:00.000Z,0
4,Terracoin,TRC,terracoin,1,920,2013-04-28T18:47:22.000Z,2020-02-09T15:19:00.000Z,0
5,Peercoin,PPC,peercoin,1,427,2013-04-28T18:47:23.000Z,2020-02-09T15:19:00.000Z,0
6,Novacoin,NVC,novacoin,1,987,2013-04-28T18:47:23.000Z,2020-02-09T15:19:00.000Z,0
8,Feathercoin,FTC,feathercoin,1,632,2013-05-03T03:25:15.000Z,2020-02-09T15:19:00.000Z,0
9,Mincoin,MNC,mincoin,1,1148,2013-05-03T03:25:15.000Z,2020-02-09T15:19:00.000Z,0
10,Freicoin,FRC,freicoin,1,1325,2013-05-03T03:25:15.000Z,2020-02-09T15:19:00.000Z,0
13,Ixcoin,IXC,ixcoin,1,1022,2013-05-08T05:20:18.000Z,2020-02-09T15:19:00.000Z,0
14,BitBar,BTB,bitbar,1,1460,2013-05-09T16:10:18.000Z,2020-02-09T15:19:00.000Z,0
18,Digitalcoin,DGC,digitalcoin,1,1362,2013-06-09T17:55:21.000Z,2020-02-09T15:19:00.000Z,0
25,GoldCoin,GLC,goldcoin,1,1111,2013-06-14T06:45:28.000Z,2020-02-09T15:19:00.000Z,0
35,Phoenixcoin,PXC,phoenixcoin,1,1242,2013-07-04T05:15:49.000Z,2020-02-09T15:19:00.000Z,0
37,Megacoin,MEC,megacoin,1,1557,2013-07-07T13:56:51.000Z,2020-02-09T15:19:00.000Z,0
41,Infinitecoin,IFC,infinitecoin,1,972,2013-07-10T13:27:02.000Z,2020-02-09T15:19:00.000Z,0
42,Primecoin,XPM,primecoin,1,831,2013-07-11T03:21:19.000Z,2020-02-09T15:19:00.000Z,0
43,Anoncoin,ANC,anoncoin,1,1543,2013-07-15T01:31:35.000Z,2020-02-09T15:19:00.000Z,0
45,CasinoCoin,CSC,casinocoin,1,239,2013-07-25T03:06:28.000Z,2020-02-09T15:19:00.000Z,0
50,Emerald Crypto,EMD,emerald,1,1366,2013-08-04T18:51:31.000Z,2020-02-09T15:19:00.000Z,0
