5203,Perth Mint Gold Token,PMGT,perth-mint-gold-token,1,2178,2020-03-11T21:34:08.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaffcdd96531bcd66faed95fc61e443d08f79efef'}"
5204,CitiOs,R2R,citios,1,2090,2020-02-05T23:49:09.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': ''}"
5208,Wallet Plus X,WPX,wallet-plus-x,1,2148,2020-02-10T23:24:05.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb3BACe433288645114FE8e8aA91F87659CBF665b'}"
5210,MalwareChain,MALW,malwarechain,1,2135,2020-02-10T23:24:05.000Z,2020-03-25T16:14:07.000Z,
5216,3X Short Ethereum Token,ETHBEAR,3x-short-ethereum-token,1,2030,2020-02-11T05:29:08.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2f5e2c9002c058c063d21a06b6cabb50950130c8'}"
5217,3X Long Ethereum Token,ETHBULL,3x-long-ethereum-token,1,2033,2020-02-11T05:34:12.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x871baed4088b863fd6407159f3672d70cd34837d'}"
5220,QURAS,XQC,quras,1,2064,2020-02-11T18:24:11.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x70da48f4b7e83c386ef983d4cef4e58c2c09d8ac'}"
5221,Handshake ,HNS,handshake,1,2038,2020-02-21T23:04:14.000Z,2020-03-25T16:14:07.000Z,
5232,Wolfs Group,WLF,wolfs-group,1,2356,2020-02-14T18:39:11.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x02b1669bc9ee893edaff3cadfd326a294d643f99'}"
5233,WinCash,WCC,wincash,1,393,2020-02-20T21:19:14.000Z,2020-03-25T16:14:07.000Z,
5234,Metaverse Dualchain Network Architecture,DNA,metaverse-dualchain-network-architecture,1,209,2020-02-15T16:29:04.000Z,2020-03-25T16:14:07.000Z,
5238,Kratscoin,KTC,kratscoin,1,2353,2020-03-09T01:39:14.000Z,2020-03-25T16:14:07.000Z,
5242,London Football Exchange,LFEC,london-football-exchange,1,2296,2020-02-19T06:14:10.000Z,2020-03-25T16:14:07.000Z,"{'id': 512, 'name': 'Stellar', 'symbol': 'XLM', 'slug': 'stellar', 'token_address': ''}"
5246,ViteX Coin,VX,vitex-coin,1,2098,2020-02-24T23:49:15.000Z,2020-03-25T16:14:07.000Z,"{'id': 2937, 'name': 'VITE', 'symbol': 'VITE', 'slug': 'vite', 'token_address': ''}"
5247,Zuflo Coin,ZFL,zuflo-coin,1,2089,2020-02-19T19:19:14.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x19fFfd124CD9089E21026d10dA97f8cD6B442Bff'}"
5248,Global Funeral Care,GFCS,global-funeral-care,1,2473,2020-02-19T19:19:14.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4f34adfff48ceb4af2f3b2253cdfdcc99c9053f4'}"
5251,LinkArt,LAR,linkart,1,2072,2020-02-21T20:59:04.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6226caa1857afbc6dfb6ca66071eb241228031a1'}"
5253,The Hustle App,HUSL,the-hustle-app,1,2151,2020-02-25T00:29:11.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x56be94d29e1125d2d61d06629c1b251d72c1b3b3'}"
5255,LegalBlock,LBK,legalblock,1,2239,2020-03-03T00:24:14.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd9af2d11d788da0097076f4eb21bd1c5533743d9'}"
5258,APIX,APIX,apix,1,694,2020-02-25T23:49:15.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf51EBf9a26DbC02B13F8B3a9110dac47a4d62D78'}"
5259,Emrals,EMRALS,emrals,1,2200,2020-02-28T01:24:08.000Z,2020-03-25T16:14:07.000Z,
5260,cUSD Currency,CUSD,cusd-currency,1,2220,2020-03-05T02:04:14.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5C406D99E04B8494dc253FCc52943Ef82bcA7D75'}"
5262,Hubi Token,HUB,hubi-token,1,2093,2020-02-27T01:29:04.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xba5160ba66b286f1b9b6f3a57a6abcfa440e7aa2'}"
5263,Compound Dai,CDAI,compound-dai,1,2281,2020-03-13T00:59:15.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643'}"
5267,QUEENBEE,QBZ,queenbee,1,2071,2020-03-05T01:14:10.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9bbc9286cdf6eefebf21df19bac71c6bdd7759d4'}"
5270,Freecash,FCH,freecash,1,2124,2020-03-09T21:24:14.000Z,2020-03-25T16:14:07.000Z,
5272,Okschain,OKS,okschain,1,2144,2020-03-09T01:19:10.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7b68d272eda2185ea2f9283f241b1c44c51e712a'}"
5274,Edgeware,EDG,edgeware,1,2181,2020-03-09T21:29:08.000Z,2020-03-25T16:14:07.000Z,
5275,PayProtocol,PCI,payprotocol,1,2081,2020-03-05T02:04:14.000Z,2020-03-25T16:14:07.000Z,
5276,Asac Coin,ASAC,asac-coin,1,2371,2020-03-11T01:14:16.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6913ccabbc337f0ea7b4109dd8200d61c704d332'}"
5277,SynchroBitcoin,SNB,synchrobitcoin,1,516,2020-03-06T22:14:14.000Z,2020-03-25T16:14:07.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x179e31fb25e433441a2839389a7b8ec9c4654b7b'}"
5278,Joys Digital,JOYS,joys-digital,1,2118,2020-03-06T22:14:14.000Z,2020-03-25T16:14:07.000Z,
